countryname,iso3,year,region,protracted_crisis,variable,unit,value_precise,value_fixed
Sao Tome and Principe,STP,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.46%,0.46
Sao Tome and Principe,STP,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,2.12%,2.12
Sao Tome and Principe,STP,2022,Sub-Saharan Africa,"",CCM_Share,percentage_share,2.1%,2.1
Suriname,SUR,2017,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Suriname,SUR,2018,Latin America & Caribbean,"",CCM_Share,percentage_share,0.89%,0.89
Suriname,SUR,2019,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Suriname,SUR,2020,Latin America & Caribbean,"",CCM_Share,percentage_share,0.07%,0.07
Suriname,SUR,2021,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Suriname,SUR,2022,Latin America & Caribbean,"",CCM_Share,percentage_share,0.32%,0.32
Eswatini,SWZ,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.07%,0.07
Eswatini,SWZ,2018,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.15%,0.15
Eswatini,SWZ,2019,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.21%,0.21
Eswatini,SWZ,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.02%,0.02
Eswatini,SWZ,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.22%,0.22
Eswatini,SWZ,2022,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.21%,0.21
Seychelles,SYC,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.94%,0.94
Seychelles,SYC,2018,Sub-Saharan Africa,,CCM_Share,percentage_share,0%,0
Seychelles,SYC,2019,Sub-Saharan Africa,,CCM_Share,percentage_share,0%,0
Seychelles,SYC,2020,Sub-Saharan Africa,,CCM_Share,percentage_share,0%,0
Seychelles,SYC,2021,Sub-Saharan Africa,,CCM_Share,percentage_share,0%,0
Seychelles,SYC,2022,Sub-Saharan Africa,,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2017,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2018,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2019,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2020,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2021,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Syrian Arab Republic,SYR,2022,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Chad,TCD,2017,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0%,0
Chad,TCD,2018,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0%,0
Chad,TCD,2019,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0%,0
Chad,TCD,2020,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0%,0
Chad,TCD,2021,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.27%,0.27
Chad,TCD,2022,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0%,0
Togo,TGO,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.42%,0.42
Togo,TGO,2018,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.98%,0.98
Togo,TGO,2019,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.16%,0.16
Togo,TGO,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.44%,0.44
Togo,TGO,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.5%,1.5
Togo,TGO,2022,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.46%,1.46
Thailand,THA,2017,East Asia & Pacific,"",CCM_Share,percentage_share,0.99%,0.99
Thailand,THA,2018,East Asia & Pacific,"",CCM_Share,percentage_share,0.19%,0.19
Thailand,THA,2019,East Asia & Pacific,"",CCM_Share,percentage_share,1.63%,1.63
Thailand,THA,2020,East Asia & Pacific,"",CCM_Share,percentage_share,1.46%,1.46
Thailand,THA,2021,East Asia & Pacific,"",CCM_Share,percentage_share,1.35%,1.35
Thailand,THA,2022,East Asia & Pacific,"",CCM_Share,percentage_share,18.86%,18.86
Tajikistan,TJK,2017,Europe & Central Asia,"",CCM_Share,percentage_share,2.92%,2.92
Tajikistan,TJK,2018,Europe & Central Asia,"",CCM_Share,percentage_share,5.87%,5.87
Tajikistan,TJK,2019,Europe & Central Asia,"",CCM_Share,percentage_share,0.01%,0.01
Tajikistan,TJK,2020,Europe & Central Asia,"",CCM_Share,percentage_share,0.19%,0.19
Tajikistan,TJK,2021,Europe & Central Asia,"",CCM_Share,percentage_share,0.47%,0.47
Tajikistan,TJK,2022,Europe & Central Asia,"",CCM_Share,percentage_share,0.86%,0.86
Tokelau,TKL,2017,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tokelau,TKL,2018,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tokelau,TKL,2019,East Asia & Pacific,"",CCM_Share,percentage_share,8.63%,8.63
Tokelau,TKL,2020,East Asia & Pacific,"",CCM_Share,percentage_share,9.9%,9.9
Tokelau,TKL,2021,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tokelau,TKL,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Turkmenistan,TKM,2017,Europe & Central Asia,"",CCM_Share,percentage_share,0%,0
Turkmenistan,TKM,2018,Europe & Central Asia,"",CCM_Share,percentage_share,0.26%,0.26
Turkmenistan,TKM,2019,Europe & Central Asia,"",CCM_Share,percentage_share,0%,0
Turkmenistan,TKM,2020,Europe & Central Asia,"",CCM_Share,percentage_share,0%,0
Turkmenistan,TKM,2021,Europe & Central Asia,"",CCM_Share,percentage_share,0%,0
Turkmenistan,TKM,2022,Europe & Central Asia,"",CCM_Share,percentage_share,0%,0
Timor-Leste,TLS,2017,East Asia & Pacific,"",CCM_Share,percentage_share,0.04%,0.04
Timor-Leste,TLS,2018,East Asia & Pacific,"",CCM_Share,percentage_share,2.28%,2.28
Timor-Leste,TLS,2019,East Asia & Pacific,"",CCM_Share,percentage_share,1.8%,1.8
Timor-Leste,TLS,2020,East Asia & Pacific,"",CCM_Share,percentage_share,1.95%,1.95
Timor-Leste,TLS,2021,East Asia & Pacific,"",CCM_Share,percentage_share,1.27%,1.27
Timor-Leste,TLS,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0.47%,0.47
Tonga,TON,2017,East Asia & Pacific,"",CCM_Share,percentage_share,2.85%,2.85
Tonga,TON,2018,East Asia & Pacific,"",CCM_Share,percentage_share,4.38%,4.38
Tonga,TON,2019,East Asia & Pacific,"",CCM_Share,percentage_share,4.04%,4.04
Tonga,TON,2020,East Asia & Pacific,"",CCM_Share,percentage_share,2.77%,2.77
Tonga,TON,2021,East Asia & Pacific,"",CCM_Share,percentage_share,2.02%,2.02
Tonga,TON,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0.75%,0.75
Tunisia,TUN,2017,Middle East & North Africa,"",CCM_Share,percentage_share,7.67%,7.67
Tunisia,TUN,2018,Middle East & North Africa,"",CCM_Share,percentage_share,6.8%,6.8
Tunisia,TUN,2019,Middle East & North Africa,"",CCM_Share,percentage_share,11.44%,11.44
Tunisia,TUN,2020,Middle East & North Africa,"",CCM_Share,percentage_share,5.1%,5.1
Tunisia,TUN,2021,Middle East & North Africa,"",CCM_Share,percentage_share,3.17%,3.17
Tunisia,TUN,2022,Middle East & North Africa,"",CCM_Share,percentage_share,1.86%,1.86
Türkiye,TUR,2017,Europe & Central Asia,yes,CCM_Share,percentage_share,8.67%,8.67
Türkiye,TUR,2018,Europe & Central Asia,yes,CCM_Share,percentage_share,1.4%,1.4
Türkiye,TUR,2019,Europe & Central Asia,yes,CCM_Share,percentage_share,3.81%,3.81
Türkiye,TUR,2020,Europe & Central Asia,yes,CCM_Share,percentage_share,3.13%,3.13
Türkiye,TUR,2021,Europe & Central Asia,yes,CCM_Share,percentage_share,4.61%,4.61
Türkiye,TUR,2022,Europe & Central Asia,yes,CCM_Share,percentage_share,6.19%,6.19
Tuvalu,TUV,2017,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tuvalu,TUV,2018,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tuvalu,TUV,2019,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tuvalu,TUV,2020,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tuvalu,TUV,2021,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tuvalu,TUV,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Tanzania,TZA,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.47%,0.47
Tanzania,TZA,2018,Sub-Saharan Africa,yes,CCM_Share,percentage_share,1.86%,1.86
Tanzania,TZA,2019,Sub-Saharan Africa,yes,CCM_Share,percentage_share,1.43%,1.43
Tanzania,TZA,2020,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.78%,0.78
Tanzania,TZA,2021,Sub-Saharan Africa,yes,CCM_Share,percentage_share,1.09%,1.09
Tanzania,TZA,2022,Sub-Saharan Africa,yes,CCM_Share,percentage_share,1.72%,1.72
Uganda,UGA,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.92%,0.92
Uganda,UGA,2018,Sub-Saharan Africa,yes,CCM_Share,percentage_share,1.17%,1.17
Uganda,UGA,2019,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.85%,0.85
Uganda,UGA,2020,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.49%,0.49
Uganda,UGA,2021,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.48%,0.48
Uganda,UGA,2022,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.65%,0.65
Ukraine,UKR,2017,Europe & Central Asia,"",CCM_Share,percentage_share,1.08%,1.08
Ukraine,UKR,2018,Europe & Central Asia,yes,CCM_Share,percentage_share,11.87%,11.87
Ukraine,UKR,2019,Europe & Central Asia,yes,CCM_Share,percentage_share,1.79%,1.79
Ukraine,UKR,2020,Europe & Central Asia,yes,CCM_Share,percentage_share,0.67%,0.67
Ukraine,UKR,2021,Europe & Central Asia,yes,CCM_Share,percentage_share,1.59%,1.59
Ukraine,UKR,2022,Europe & Central Asia,yes,CCM_Share,percentage_share,0.24%,0.24
Uruguay,URY,2017,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Uruguay,URY,2018,Latin America & Caribbean,,CCM_Share,percentage_share,0%,0
Uruguay,URY,2019,Latin America & Caribbean,,CCM_Share,percentage_share,0%,0
Uruguay,URY,2020,Latin America & Caribbean,,CCM_Share,percentage_share,0%,0
Uruguay,URY,2021,Latin America & Caribbean,,CCM_Share,percentage_share,0%,0
Uruguay,URY,2022,Latin America & Caribbean,,CCM_Share,percentage_share,0%,0
Uzbekistan,UZB,2017,Europe & Central Asia,"",CCM_Share,percentage_share,27.68%,27.68
Uzbekistan,UZB,2018,Europe & Central Asia,"",CCM_Share,percentage_share,12.74%,12.74
Uzbekistan,UZB,2019,Europe & Central Asia,"",CCM_Share,percentage_share,26.01%,26.01
Uzbekistan,UZB,2020,Europe & Central Asia,"",CCM_Share,percentage_share,16.56%,16.56
Uzbekistan,UZB,2021,Europe & Central Asia,"",CCM_Share,percentage_share,2.11%,2.11
Uzbekistan,UZB,2022,Europe & Central Asia,"",CCM_Share,percentage_share,9.45%,9.45
Saint Vincent and the Grenadines,VCT,2017,Latin America & Caribbean,"",CCM_Share,percentage_share,5.09%,5.09
Saint Vincent and the Grenadines,VCT,2018,Latin America & Caribbean,"",CCM_Share,percentage_share,0.75%,0.75
Saint Vincent and the Grenadines,VCT,2019,Latin America & Caribbean,"",CCM_Share,percentage_share,1.65%,1.65
Saint Vincent and the Grenadines,VCT,2020,Latin America & Caribbean,"",CCM_Share,percentage_share,0.01%,0.01
Saint Vincent and the Grenadines,VCT,2021,Latin America & Caribbean,"",CCM_Share,percentage_share,0.01%,0.01
Saint Vincent and the Grenadines,VCT,2022,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Venezuela,VEN,2017,Latin America & Caribbean,"",CCM_Share,percentage_share,0%,0
Venezuela,VEN,2018,Latin America & Caribbean,"",CCM_Share,percentage_share,0.1%,0.1
Venezuela,VEN,2019,Latin America & Caribbean,"",CCM_Share,percentage_share,0.02%,0.02
Venezuela,VEN,2020,Latin America & Caribbean,"",CCM_Share,percentage_share,0.05%,0.05
Venezuela,VEN,2021,Latin America & Caribbean,"",CCM_Share,percentage_share,0.3%,0.3
Venezuela,VEN,2022,Latin America & Caribbean,yes,CCM_Share,percentage_share,0.1%,0.1
Viet Nam,VNM,2017,East Asia & Pacific,"",CCM_Share,percentage_share,4.4%,4.4
Viet Nam,VNM,2018,East Asia & Pacific,"",CCM_Share,percentage_share,5.03%,5.03
Viet Nam,VNM,2019,East Asia & Pacific,"",CCM_Share,percentage_share,9.09%,9.09
Viet Nam,VNM,2020,East Asia & Pacific,"",CCM_Share,percentage_share,4.52%,4.52
Viet Nam,VNM,2021,East Asia & Pacific,"",CCM_Share,percentage_share,11.03%,11.03
Viet Nam,VNM,2022,East Asia & Pacific,"",CCM_Share,percentage_share,12.55%,12.55
Vanuatu,VUT,2017,East Asia & Pacific,"",CCM_Share,percentage_share,2.97%,2.97
Vanuatu,VUT,2018,East Asia & Pacific,"",CCM_Share,percentage_share,1.85%,1.85
Vanuatu,VUT,2019,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Vanuatu,VUT,2020,East Asia & Pacific,"",CCM_Share,percentage_share,0.49%,0.49
Vanuatu,VUT,2021,East Asia & Pacific,"",CCM_Share,percentage_share,0.1%,0.1
Vanuatu,VUT,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0.48%,0.48
Wallis and Futuna,WLF,2017,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Wallis and Futuna,WLF,2018,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Wallis and Futuna,WLF,2019,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Wallis and Futuna,WLF,2020,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Wallis and Futuna,WLF,2021,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Wallis and Futuna,WLF,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Samoa,WSM,2017,East Asia & Pacific,"",CCM_Share,percentage_share,2.03%,2.03
Samoa,WSM,2018,East Asia & Pacific,"",CCM_Share,percentage_share,2.62%,2.62
Samoa,WSM,2019,East Asia & Pacific,"",CCM_Share,percentage_share,0.45%,0.45
Samoa,WSM,2020,East Asia & Pacific,"",CCM_Share,percentage_share,0%,0
Samoa,WSM,2021,East Asia & Pacific,"",CCM_Share,percentage_share,0.01%,0.01
Samoa,WSM,2022,East Asia & Pacific,"",CCM_Share,percentage_share,0.01%,0.01
Kosovo,XKX,2017,Europe & Central Asia,"",CCM_Share,percentage_share,0.18%,0.18
Kosovo,XKX,2018,Europe & Central Asia,"",CCM_Share,percentage_share,2.54%,2.54
Kosovo,XKX,2019,Europe & Central Asia,"",CCM_Share,percentage_share,3.35%,3.35
Kosovo,XKX,2020,Europe & Central Asia,"",CCM_Share,percentage_share,1.59%,1.59
Kosovo,XKX,2021,Europe & Central Asia,"",CCM_Share,percentage_share,3.02%,3.02
Kosovo,XKX,2022,Europe & Central Asia,"",CCM_Share,percentage_share,2.27%,2.27
Yemen,YEM,2017,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Yemen,YEM,2018,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Yemen,YEM,2019,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Yemen,YEM,2020,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Yemen,YEM,2021,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
Yemen,YEM,2022,Middle East & North Africa,yes,CCM_Share,percentage_share,0%,0
South Africa,ZAF,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,2.22%,2.22
South Africa,ZAF,2018,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.52%,1.52
South Africa,ZAF,2019,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.3%,1.3
South Africa,ZAF,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.76%,1.76
South Africa,ZAF,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,6.45%,6.45
South Africa,ZAF,2022,Sub-Saharan Africa,"",CCM_Share,percentage_share,23.6%,23.6
Zambia,ZMB,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.28%,0.28
Zambia,ZMB,2018,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.13%,1.13
Zambia,ZMB,2019,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.3%,1.3
Zambia,ZMB,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.49%,0.49
Zambia,ZMB,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,1.06%,1.06
Zambia,ZMB,2022,Sub-Saharan Africa,yes,CCM_Share,percentage_share,0.88%,0.88
Zimbabwe,ZWE,2017,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.04%,0.04
Zimbabwe,ZWE,2018,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.08%,0.08
Zimbabwe,ZWE,2019,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.13%,0.13
Zimbabwe,ZWE,2020,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.19%,0.19
Zimbabwe,ZWE,2021,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.16%,0.16
Zimbabwe,ZWE,2022,Sub-Saharan Africa,"",CCM_Share,percentage_share,0.54%,0.54
Afghanistan,AFG,2017,South Asia,yes,CCM_USD,usd_millions,12.559901,12.56
Afghanistan,AFG,2018,South Asia,yes,CCM_USD,usd_millions,21.403143,21.4
Afghanistan,AFG,2019,South Asia,yes,CCM_USD,usd_millions,19.079493,19.08
Afghanistan,AFG,2020,South Asia,yes,CCM_USD,usd_millions,10.441165,10.44
Afghanistan,AFG,2021,South Asia,yes,CCM_USD,usd_millions,12.99767,13
Afghanistan,AFG,2022,South Asia,yes,CCM_USD,usd_millions,1.546809,1.55
Angola,AGO,2017,Sub-Saharan Africa,"",CCM_USD,usd_millions,0,0
Angola,AGO,2018,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.023066,0.02
Angola,AGO,2019,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.668908,0.67
Angola,AGO,2020,Sub-Saharan Africa,"",CCM_USD,usd_millions,2.120364,2.12
Angola,AGO,2021,Sub-Saharan Africa,yes,CCM_USD,usd_millions,2.707072,2.71
Angola,AGO,2022,Sub-Saharan Africa,yes,CCM_USD,usd_millions,0.020551,0.02
Albania,ALB,2017,Europe & Central Asia,"",CCM_USD,usd_millions,2.087333,2.09
Albania,ALB,2018,Europe & Central Asia,"",CCM_USD,usd_millions,37.951742,37.95
Albania,ALB,2019,Europe & Central Asia,"",CCM_USD,usd_millions,2.672549,2.67
Albania,ALB,2020,Europe & Central Asia,"",CCM_USD,usd_millions,4.127436,4.13
Albania,ALB,2021,Europe & Central Asia,"",CCM_USD,usd_millions,4.539815,4.54
Albania,ALB,2022,Europe & Central Asia,"",CCM_USD,usd_millions,7.320846,7.32
Argentina,ARG,2017,Latin America & Caribbean,"",CCM_USD,usd_millions,0.723321,0.72
Argentina,ARG,2018,Latin America & Caribbean,"",CCM_USD,usd_millions,0.030688,0.03
Argentina,ARG,2019,Latin America & Caribbean,"",CCM_USD,usd_millions,0.15955,0.16
Argentina,ARG,2020,Latin America & Caribbean,"",CCM_USD,usd_millions,0.092776,0.09
Argentina,ARG,2021,Latin America & Caribbean,"",CCM_USD,usd_millions,0.393605,0.39
Argentina,ARG,2022,Latin America & Caribbean,"",CCM_USD,usd_millions,0.708874,0.71
Armenia,ARM,2017,Europe & Central Asia,"",CCM_USD,usd_millions,8.032106,8.03
Armenia,ARM,2018,Europe & Central Asia,"",CCM_USD,usd_millions,13.611413,13.61
Armenia,ARM,2019,Europe & Central Asia,"",CCM_USD,usd_millions,6.500914,6.5
Armenia,ARM,2020,Europe & Central Asia,"",CCM_USD,usd_millions,7.308854,7.31
Armenia,ARM,2021,Europe & Central Asia,"",CCM_USD,usd_millions,26.431066,26.43
Armenia,ARM,2022,Europe & Central Asia,"",CCM_USD,usd_millions,39.738967,39.74
Antigua and Barbuda,ATG,2017,Latin America & Caribbean,"",CCM_USD,usd_millions,0.813896,0.81
Antigua and Barbuda,ATG,2018,Latin America & Caribbean,"",CCM_USD,usd_millions,0.179482,0.18
Antigua and Barbuda,ATG,2019,Latin America & Caribbean,"",CCM_USD,usd_millions,0.496116,0.5
Antigua and Barbuda,ATG,2020,Latin America & Caribbean,"",CCM_USD,usd_millions,0.278828,0.28
Antigua and Barbuda,ATG,2021,Latin America & Caribbean,"",CCM_USD,usd_millions,0,0
Antigua and Barbuda,ATG,2022,Latin America & Caribbean,,CCM_USD,usd_millions,0,0
Azerbaijan,AZE,2017,Europe & Central Asia,"",CCM_USD,usd_millions,0,0
Azerbaijan,AZE,2018,Europe & Central Asia,"",CCM_USD,usd_millions,0.004857,0
Azerbaijan,AZE,2019,Europe & Central Asia,"",CCM_USD,usd_millions,55.09413,55.09
Azerbaijan,AZE,2020,Europe & Central Asia,"",CCM_USD,usd_millions,35.508692,35.51
Azerbaijan,AZE,2021,Europe & Central Asia,"",CCM_USD,usd_millions,38.32354,38.32
Azerbaijan,AZE,2022,Europe & Central Asia,"",CCM_USD,usd_millions,0.668431,0.67
Burundi,BDI,2017,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.073581,0.07
Burundi,BDI,2018,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.017056,0.02
Burundi,BDI,2019,Sub-Saharan Africa,"",CCM_USD,usd_millions,0,0
Burundi,BDI,2020,Sub-Saharan Africa,yes,CCM_USD,usd_millions,1.729283,1.73
Burundi,BDI,2021,Sub-Saharan Africa,yes,CCM_USD,usd_millions,0.730303,0.73
Burundi,BDI,2022,Sub-Saharan Africa,yes,CCM_USD,usd_millions,5.11368,5.11
Benin,BEN,2017,Sub-Saharan Africa,"",CCM_USD,usd_millions,9.14107,9.14
Benin,BEN,2018,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.575237,0.58
Benin,BEN,2019,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.016847,0.02
Benin,BEN,2020,Sub-Saharan Africa,"",CCM_USD,usd_millions,8.83763,8.84
Benin,BEN,2021,Sub-Saharan Africa,"",CCM_USD,usd_millions,9.51443,9.51
Benin,BEN,2022,Sub-Saharan Africa,"",CCM_USD,usd_millions,16.511943,16.51
Burkina Faso,BFA,2017,Sub-Saharan Africa,yes,CCM_USD,usd_millions,20.277228,20.28
Burkina Faso,BFA,2018,Sub-Saharan Africa,yes,CCM_USD,usd_millions,7.107208,7.11
Burkina Faso,BFA,2019,Sub-Saharan Africa,yes,CCM_USD,usd_millions,11.786746,11.79
Burkina Faso,BFA,2020,Sub-Saharan Africa,yes,CCM_USD,usd_millions,10.196536,10.2
Burkina Faso,BFA,2021,Sub-Saharan Africa,yes,CCM_USD,usd_millions,17.599424,17.6
Burkina Faso,BFA,2022,Sub-Saharan Africa,yes,CCM_USD,usd_millions,25.682802,25.68
Bangladesh,BGD,2017,South Asia,"",CCM_USD,usd_millions,295.774545,295.77
Bangladesh,BGD,2018,South Asia,"",CCM_USD,usd_millions,130.7345,130.73
Bangladesh,BGD,2019,South Asia,"",CCM_USD,usd_millions,57.842975,57.84
Bangladesh,BGD,2020,South Asia,yes,CCM_USD,usd_millions,75.607409,75.61
Bangladesh,BGD,2021,South Asia,yes,CCM_USD,usd_millions,170.456255,170.46
Bangladesh,BGD,2022,South Asia,yes,CCM_USD,usd_millions,644.217048,644.22
Bosnia and Herzegovina,BIH,2017,Europe & Central Asia,"",CCM_USD,usd_millions,62.445608,62.45
Bosnia and Herzegovina,BIH,2018,Europe & Central Asia,"",CCM_USD,usd_millions,22.005109,22.01
Bosnia and Herzegovina,BIH,2019,Europe & Central Asia,"",CCM_USD,usd_millions,20.405411,20.41
Bosnia and Herzegovina,BIH,2020,Europe & Central Asia,"",CCM_USD,usd_millions,45.108722,45.11
Bosnia and Herzegovina,BIH,2021,Europe & Central Asia,"",CCM_USD,usd_millions,43.210798,43.21
Bosnia and Herzegovina,BIH,2022,Europe & Central Asia,"",CCM_USD,usd_millions,8.123403,8.12
Belarus,BLR,2017,Europe & Central Asia,"",CCM_USD,usd_millions,8.45792,8.46
Belarus,BLR,2018,Europe & Central Asia,"",CCM_USD,usd_millions,3.860505,3.86
Belarus,BLR,2019,Europe & Central Asia,"",CCM_USD,usd_millions,5.536364,5.54
Belarus,BLR,2020,Europe & Central Asia,"",CCM_USD,usd_millions,1.253956,1.25
Belarus,BLR,2021,Europe & Central Asia,"",CCM_USD,usd_millions,2.918849,2.92
Belarus,BLR,2022,Europe & Central Asia,"",CCM_USD,usd_millions,0.101598,0.1
Belize,BLZ,2017,Latin America & Caribbean,"",CCM_USD,usd_millions,0.4896,0.49
Belize,BLZ,2018,Latin America & Caribbean,"",CCM_USD,usd_millions,0.400087,0.4
Belize,BLZ,2019,Latin America & Caribbean,"",CCM_USD,usd_millions,0.514327,0.51
Belize,BLZ,2020,Latin America & Caribbean,"",CCM_USD,usd_millions,0.52589,0.53
Belize,BLZ,2021,Latin America & Caribbean,"",CCM_USD,usd_millions,0.179335,0.18
Belize,BLZ,2022,Latin America & Caribbean,"",CCM_USD,usd_millions,0.031717,0.03
Bolivia,BOL,2017,Latin America & Caribbean,"",CCM_USD,usd_millions,29.868563,29.87
Bolivia,BOL,2018,Latin America & Caribbean,"",CCM_USD,usd_millions,24.91826,24.92
Bolivia,BOL,2019,Latin America & Caribbean,"",CCM_USD,usd_millions,134.09784,134.1
Bolivia,BOL,2020,Latin America & Caribbean,"",CCM_USD,usd_millions,28.348709,28.35
Bolivia,BOL,2021,Latin America & Caribbean,"",CCM_USD,usd_millions,12.873922,12.87
Bolivia,BOL,2022,Latin America & Caribbean,"",CCM_USD,usd_millions,5.635672,5.64
Brazil,BRA,2017,Latin America & Caribbean,"",CCM_USD,usd_millions,182.11196,182.11
Brazil,BRA,2018,Latin America & Caribbean,"",CCM_USD,usd_millions,241.314602,241.31
Brazil,BRA,2019,Latin America & Caribbean,"",CCM_USD,usd_millions,180.171866,180.17
Brazil,BRA,2020,Latin America & Caribbean,"",CCM_USD,usd_millions,198.088116,198.09
Brazil,BRA,2021,Latin America & Caribbean,"",CCM_USD,usd_millions,353.609636,353.61
Brazil,BRA,2022,Latin America & Caribbean,yes,CCM_USD,usd_millions,167.115209,167.12
Bhutan,BTN,2017,South Asia,"",CCM_USD,usd_millions,7.907257,7.91
Bhutan,BTN,2018,South Asia,"",CCM_USD,usd_millions,11.292849,11.29
Bhutan,BTN,2019,South Asia,"",CCM_USD,usd_millions,2.76927,2.77
Bhutan,BTN,2020,South Asia,"",CCM_USD,usd_millions,1.144342,1.14
Bhutan,BTN,2021,South Asia,"",CCM_USD,usd_millions,0.714314,0.71
Bhutan,BTN,2022,South Asia,"",CCM_USD,usd_millions,2.03318,2.03
Botswana,BWA,2017,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.709066,0.71
Botswana,BWA,2018,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.518341,0.52
Botswana,BWA,2019,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.075478,0.08
Botswana,BWA,2020,Sub-Saharan Africa,"",CCM_USD,usd_millions,0.046018,0.05
